observed_on,latitude,longitude
2015-09-13,37.020537,-121.904211
2015-09-13,37.020537,-121.904211
2015-09-07,57.0942805,-135.4495383333
2015-06-05,48.095967,-123.429852
2015-09-07,47.953053,-123.823728
2015-09-13,48.6099966667,-123.4501583333
2015-02-07,49.249151,-124.035215
2014-09-23,37.400812,-122.329491
2015-09-10,48.6833,-121.000671
2015-09-10,45.2608533333,-122.1661305
2015-09-26,37.57563,-122.4739833333
2015-09-26,37.5756633333,-122.4740133333
2015-09-27,49.259028,-123.2479935
2015-07-12,47.968705,-123.8638616667
2015-09-03,43.331457,-124.375015
2015-09-27,38.346738,-122.630294
2015-09-26,41.31424,-124.064655
2015-10-04,57.02437116,-135.35698852
2015-10-04,57.00790996,-135.35483376
2015-10-04,49.3437816,-122.45500647
2015-09-27,38.3279186175,-122.6193520054
2015-10-06,37.7663383333,-122.4715633333
2015-10-07,57.04550333,-135.37735981
2015-09-29,39.331073,-123.780106
2015-10-08,49.27620899,-123.2500912
2007-08-15,48.653398,-124.638518
2015-10-11,45.260437,-122.758816
2015-10-17,38.5730866667,-123.2950883333
2015-10-17,38.573055,-123.2950366667
2015-10-17,38.5730583333,-123.2950366667
2015-10-17,38.5730466667,-123.2950216667
2015-10-17,38.5730466667,-123.2950283333
2015-10-17,38.5730466667,-123.2950283333
2015-10-17,38.5730333333,-123.2950283333
2015-10-17,38.5730666667,-123.295005
2015-10-17,38.573105,-123.2950366667
2015-10-17,38.5730883333,-123.2950283333
2015-10-17,38.5730883333,-123.2950216667
2015-10-17,38.5731,-123.2950133333
2015-10-17,38.5731166667,-123.2950133333
2015-10-17,38.5731383333,-123.2950366667
2015-10-17,38.5731366667,-123.2950833333
2015-10-17,38.573155,-123.2951366667
2015-10-17,38.5731866667,-123.2951133333
2015-10-17,38.5731866667,-123.2951133333
2015-10-17,38.5732033333,-123.2950966667
2015-10-17,38.5732916667,-123.2950133333
2015-10-17,38.585105,-123.3229666667
2015-10-23,45.376436,-122.845173
2015-06-01,37.90668,-122.55479
2015-10-30,37.809733,-122.181702
2015-11-01,38.10877,-122.865942
2012-01-09,38.038712,-122.874387
2015-11-03,37.436691,-122.364426
2015-11-09,47.763138,-122.551253
2015-11-10,37.679974,-122.406723
2015-11-10,38.369464,-122.500756
2015-11-10,42.032758,-124.175978
2015-06-16,49.209444,-125.911111
2009-10-12,41.651213,-124.119862
2015-10-25,56.82793563,-135.48835948
2015-11-13,38.024701,-122.726708
2015-11-16,37.436901,-122.361383
2015-11-20,37.92339,-122.627845
2015-11-20,39.246662,-120.912341
2015-11-27,39.330852516,-123.7802946289
2015-11-27,39.331044,-123.796864
2015-11-28,41.2631219648,-124.0067782626
2015-11-27,39.330936,-123.777536
2015-07-26,37.8475332357,-122.1990575424
2015-11-19,47.6573,-122.287361
2015-11-19,47.673093,-122.311399
2015-12-05,38.051909,-122.835796
2015-12-03,45.515445,-122.7163866667
2015-12-13,38.513123,-122.932332
2015-12-12,38.00111,-122.75667
2015-12-12,38.583969,-123.330669
2015-12-19,37.954553,-122.600298
2015-12-21,37.43436,-122.34968
2015-12-21,37.43436,-122.34968
2015-12-13,38.540745,-123.010825
2015-12-30,37.170719,-121.420195
2016-01-03,38.1063945,-122.8859633333
2016-01-03,38.052325,-122.812905
2016-01-06,38.485121,-122.57022
